codmuni,department,municipality
47570,MAGDALENA,PUEBLOVIEJO
47605,MAGDALENA,REMOLINO
47660,MAGDALENA,SABANAS DE SAN ANGEL
47675,MAGDALENA,SALAMINA
47692,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA
47703,MAGDALENA,SAN ZENON
47707,MAGDALENA,SANTA ANA
47720,MAGDALENA,SANTA BARBARA DE PINTO
47001,MAGDALENA,SANTA MARTA
47745,MAGDALENA,SITIONUEVO
47798,MAGDALENA,TENERIFE
47960,MAGDALENA,ZAPAYAN
47980,MAGDALENA,ZONA BANANERA (SEVILLA)
50006,META,ACACIAS
50110,META,BARRANCA DE UPIA
50124,META,CABUYARO
50150,META,CASTILLA LA NUEVA
50226,META,CUMARAL
50245,META,EL CALVARIO
50251,META,EL CASTILLO
50270,META,EL DORADO
50287,META,FUENTE DE ORO
50313,META,GRANADA
50318,META,GUAMAL
50350,META,LA MACARENA
50400,META,LEJANIAS
50325,META,MAPIRIPAN
50330,META,MESETAS
50450,META,PUERTO CONCORDIA
50568,META,PUERTO GAITAN
50577,META,PUERTO LLERAS
50573,META,PUERTO LOPEZ
50590,META,PUERTO RICO
50606,META,RESTREPO
50680,META,SAN CARLOS DE GUAROA
50683,META,SAN JUAN DE ARAMA
50686,META,SAN JUANITO
50223,META,SAN LUIS DE CUBARRAL
50689,META,SAN MARTIN DE LOS LLANOS
50370,META,URIBE
50001,META,VILLAVICENCIO
50711,META,VISTAHERMOSA
52019,NARINO,ALBAN (SAN JOSE)
52022,NARINO,ALDANA
52036,NARINO,ANCUYA
52051,NARINO,ARBOLEDA (BERRUECOS)
52079,NARINO,BARBACOAS
52083,NARINO,BELEN
52110,NARINO,BUESACO
52240,NARINO,CHACHAGUI
52203,NARINO,COLON (GENOVA)
52207,NARINO,CONSACA
52210,NARINO,CONTADERO
52215,NARINO,CORDOBA
52224,NARINO,CUASPUD (CARLOSAMA)
52227,NARINO,CUMBAL
52233,NARINO,CUMBITARA
52250,NARINO,EL CHARCO
52254,NARINO,EL PENOL
52256,NARINO,EL ROSARIO
52258,NARINO,EL TABLON
52260,NARINO,EL TAMBO
52520,NARINO,FRANCISCO PIZARRO (SALAHONDA)
52287,NARINO,FUNES
52317,NARINO,GUACHUCAL
52320,NARINO,GUAITARILLA
52323,NARINO,GUALMATAN
52352,NARINO,ILES
52354,NARINO,IMUES
52356,NARINO,IPIALES
52378,NARINO,LA CRUZ
52381,NARINO,LA FLORIDA
52385,NARINO,LA LLANADA
52390,NARINO,LA TOLA
52399,NARINO,LA UNION
52405,NARINO,LEIVA
52411,NARINO,LINARES
52418,NARINO,LOS ANDES (SOTOMAYOR)
52427,NARINO,MAGUI
52435,NARINO,MALLAMA (PIEDRANCHA)
52473,NARINO,MOSQUERA
52480,NARINO,NARINO
52490,NARINO,OLAYA HERRERA
52506,NARINO,OSPINA
52001,NARINO,PASTO
52540,NARINO,POLICARPA
52560,NARINO,POTOSI
52565,NARINO,PROVIDENCIA
52573,NARINO,PUERRES
52585,NARINO,PUPIALES
52612,NARINO,RICAURTE
52621,NARINO,ROBERTO PAYAN (SAN JOSE)
52678,NARINO,SAMANIEGO
52685,NARINO,SAN BERNARDO
52687,NARINO,SAN LORENZO
52693,NARINO,SAN PABLO
52694,NARINO,SAN PEDRO DE CARTAGO
52683,NARINO,SANDONA
52696,NARINO,SANTA BARBARA
52699,NARINO,SANTACRUZ
52720,NARINO,SAPUYES
52786,NARINO,TAMINANGO
52788,NARINO,TANGUA
52835,NARINO,TUMACO
52838,NARINO,TUQUERRES
52885,NARINO,YACUANQUER
54003,NORTE DE SAN,ABREGO
54051,NORTE DE SAN,ARBOLEDAS
54099,NORTE DE SAN,BOCHALEMA
54109,NORTE DE SAN,BUCARASICA
54128,NORTE DE SAN,CACHIRA
54125,NORTE DE SAN,CACOTA
54172,NORTE DE SAN,CHINACOTA
54174,NORTE DE SAN,CHITAGA
54206,NORTE DE SAN,CONVENCION
54001,NORTE DE SAN,CUCUTA
54223,NORTE DE SAN,CUCUTILLA
54239,NORTE DE SAN,DURANIA
54245,NORTE DE SAN,EL CARMEN
54250,NORTE DE SAN,EL TARRA
54261,NORTE DE SAN,EL ZULIA
54313,NORTE DE SAN,GRAMALOTE
54344,NORTE DE SAN,HACARI
54347,NORTE DE SAN,HERRAN
54385,NORTE DE SAN,LA ESPERANZA
54398,NORTE DE SAN,LA PLAYA
54377,NORTE DE SAN,LABATECA
54405,NORTE DE SAN,LOS PATIOS
54418,NORTE DE SAN,LOURDES
54480,NORTE DE SAN,MUTISCUA
54498,NORTE DE SAN,OCANA
54518,NORTE DE SAN,PAMPLONA
54520,NORTE DE SAN,PAMPLONITA
54553,NORTE DE SAN,PUERTO SANTANDER
54599,NORTE DE SAN,RAGONVALIA
54660,NORTE DE SAN,SALAZAR
54670,NORTE DE SAN,SAN CALIXTO
54673,NORTE DE SAN,SAN CAYETANO
54680,NORTE DE SAN,SANTIAGO
54720,NORTE DE SAN,SARDINATA
54743,NORTE DE SAN,SILOS
54800,NORTE DE SAN,TEORAMA
54810,NORTE DE SAN,TIBU
54820,NORTE DE SAN,TOLEDO
54871,NORTE DE SAN,VILLA CARO
54874,NORTE DE SAN,VILLA DEL ROSARIO
86219,PUTUMAYO,COLON (GENOVA)
86001,PUTUMAYO,MOCOA
86320,PUTUMAYO,ORITO
86568,PUTUMAYO,PUERTO ASIS
86569,PUTUMAYO,PUERTO CAICEDO
86571,PUTUMAYO,PUERTO GUZMAN
86573,PUTUMAYO,PUERTO LEGUIZAMO
86755,PUTUMAYO,SAN FRANCISCO
86757,PUTUMAYO,SAN MIGUEL (LA DORADA)
86760,PUTUMAYO,SANTIAGO
86749,PUTUMAYO,SIBUNDOY
86865,PUTUMAYO,VALLE DEL GUAMUEZ (LA HORMIGA)
86885,PUTUMAYO,VILLAGARZON
63001,QUINDIO,ARMENIA
63111,QUINDIO,BUENAVISTA
63130,QUINDIO,CALARCA
63190,QUINDIO,CIRCASIA
63212,QUINDIO,CORDOBA
63272,QUINDIO,FILANDIA
63302,QUINDIO,GENOVA
63401,QUINDIO,LA TEBAIDA
63470,QUINDIO,MONTENEGRO
63548,QUINDIO,PIJAO
63594,QUINDIO,QUIMBAYA
63690,QUINDIO,SALENTO
66045,RISARALDA,APIA
66075,RISARALDA,BALBOA
66088,RISARALDA,BELEN DE UMBRIA
66170,RISARALDA,DOSQUEBRADAS
66318,RISARALDA,GUATICA
66383,RISARALDA,LA CELIA
66400,RISARALDA,LA VIRGINIA
66440,RISARALDA,MARSELLA
66456,RISARALDA,MISTRATO
66001,RISARALDA,PEREIRA
66572,RISARALDA,PUEBLO RICO
66594,RISARALDA,QUINCHIA
66682,RISARALDA,SANTA ROSA DE CABAL
66687,RISARALDA,SANTUARIO
68013,SANTANDER,AGUADA
68020,SANTANDER,ALBANIA
68051,SANTANDER,ARATOCA
68077,SANTANDER,BARBOSA
68079,SANTANDER,BARICHARA
68081,SANTANDER,BARRANCABERMEJA
68092,SANTANDER,BETULIA
68101,SANTANDER,BOLIVAR
68001,SANTANDER,BUCARAMANGA
68121,SANTANDER,CABRERA
68132,SANTANDER,CALIFORNIA
68147,SANTANDER,CAPITANEJO
68152,SANTANDER,CARCASI
68160,SANTANDER,CEPITA
68162,SANTANDER,CERRITO
68167,SANTANDER,CHARALA
68169,SANTANDER,CHARTA
68176,SANTANDER,CHIMA
68179,SANTANDER,CHIPATA
68190,SANTANDER,CIMITARRA
68207,SANTANDER,CONCEPCION
68209,SANTANDER,CONFINES
68211,SANTANDER,CONTRATACION
68217,SANTANDER,COROMORO
68229,SANTANDER,CURITI
68235,SANTANDER,EL CARMEN
68245,SANTANDER,EL GUACAMAYO
68250,SANTANDER,EL PENON
68255,SANTANDER,EL PLAYON
68264,SANTANDER,ENCINO
68266,SANTANDER,ENCISO
68271,SANTANDER,FLORIAN
68276,SANTANDER,FLORIDABLANCA
68296,SANTANDER,GALAN
68298,SANTANDER,GAMBITA
68307,SANTANDER,GIRON
68318,SANTANDER,GUACA
68320,SANTANDER,GUADALUPE
68322,SANTANDER,GUAPOTA
68324,SANTANDER,GUAVATA
68327,SANTANDER,GUEPSA
68344,SANTANDER,HATO
68368,SANTANDER,JESUS MARIA
68370,SANTANDER,JORDAN
68377,SANTANDER,LA BELLEZA
68397,SANTANDER,LA PAZ
68385,SANTANDER,LANDAZURI
68406,SANTANDER,LEBRIJA
68418,SANTANDER,LOS SANTOS
68425,SANTANDER,MACARAVITA
68432,SANTANDER,MALAGA
68444,SANTANDER,MATANZA
68464,SANTANDER,MOGOTES
68468,SANTANDER,MOLAGAVITA
68498,SANTANDER,OCAMONTE
68500,SANTANDER,OIBA
68502,SANTANDER,ONZAGA
68522,SANTANDER,PALMAR
68524,SANTANDER,PALMAS DEL SOCORRO
68533,SANTANDER,PARAMO
68547,SANTANDER,PIEDECUESTA
68549,SANTANDER,PINCHOTE
68572,SANTANDER,PUENTE NACIONAL
68573,SANTANDER,PUERTO PARRA
68575,SANTANDER,PUERTO WILCHES
68615,SANTANDER,RIONEGRO
68655,SANTANDER,SABANA DE TORRES
68669,SANTANDER,SAN ANDRES
68673,SANTANDER,SAN BENITO
68679,SANTANDER,SAN GIL
68682,SANTANDER,SAN JOAQUIN
68684,SANTANDER,SAN JOSE DE MIRANDA
68686,SANTANDER,SAN MIGUEL (LA DORADA)
68689,SANTANDER,SAN VICENTE DE CHUCURI
68705,SANTANDER,SANTA BARBARA
68720,SANTANDER,SANTA HELENA DEL OPON
68745,SANTANDER,SIMACOTA
68755,SANTANDER,SOCORRO
68770,SANTANDER,SUAITA
68773,SANTANDER,SUCRE
68780,SANTANDER,SURATA
68820,SANTANDER,TONA
68855,SANTANDER,VALLE DE SAN JOSE
68861,SANTANDER,VELEZ
68867,SANTANDER,VETAS
68872,SANTANDER,VILLANUEVA
68895,SANTANDER,ZAPATOCA
70110,SUCRE,BUENAVISTA
70124,SUCRE,CAIMITO
70230,SUCRE,CHALAN
70204,SUCRE,COLOSO (RICAURTE)
70215,SUCRE,COROZAL
70221,SUCRE,COVENAS
70233,SUCRE,EL ROBLE
70235,SUCRE,GALERAS (NUEVA GRANADA)
70265,SUCRE,GUARANDA
70400,SUCRE,LA UNION
70418,SUCRE,LOS PALMITOS
70429,SUCRE,MAJAGUAL
70473,SUCRE,MORROA
70508,SUCRE,OVEJAS
70523,SUCRE,PALMITO
70670,SUCRE,SAMPUES
70678,SUCRE,SAN BENITO ABAD
70702,SUCRE,SAN JUAN DE BETULIA (BETULIA)
70708,SUCRE,SAN MARCOS
70713,SUCRE,SAN ONOFRE
70717,SUCRE,SAN PEDRO
70742,SUCRE,SINCE
70001,SUCRE,SINCELEJO
70771,SUCRE,SUCRE
70820,SUCRE,TOLU
70823,SUCRE,TOLUVIEJO
73024,TOLIMA,ALPUJARRA
73026,TOLIMA,ALVARADO
73030,TOLIMA,AMBALEMA
73043,TOLIMA,ANZOATEGUI
73055,TOLIMA,ARMERO (GUAYABAL)
73067,TOLIMA,ATACO
73124,TOLIMA,CAJAMARCA
73148,TOLIMA,CARMEN DE APICALA
73152,TOLIMA,CASABIANCA
73168,TOLIMA,CHAPARRAL
73200,TOLIMA,COELLO
73217,TOLIMA,COYAIMA
73226,TOLIMA,CUNDAY
73236,TOLIMA,DOLORES
73268,TOLIMA,ESPINAL
73270,TOLIMA,FALAN
73275,TOLIMA,FLANDES
73283,TOLIMA,FRESNO
73319,TOLIMA,GUAMO
73347,TOLIMA,HERVEO
73349,TOLIMA,HONDA
73001,TOLIMA,IBAGUE
73352,TOLIMA,ICONONZO
73408,TOLIMA,LERIDA
73411,TOLIMA,LIBANO
73443,TOLIMA,MARIQUITA
73449,TOLIMA,MELGAR
73461,TOLIMA,MURILLO
73483,TOLIMA,NATAGAIMA
73504,TOLIMA,ORTEGA
73520,TOLIMA,PALOCABILDO
73547,TOLIMA,PIEDRAS
73555,TOLIMA,PLANADAS
73563,TOLIMA,PRADO
73585,TOLIMA,PURIFICACION
73616,TOLIMA,RIOBLANCO
73622,TOLIMA,RONCESVALLES
73624,TOLIMA,ROVIRA
73671,TOLIMA,SALDANA
73675,TOLIMA,SAN ANTONIO
73678,TOLIMA,SAN LUIS
73686,TOLIMA,SANTA ISABEL
73770,TOLIMA,SUAREZ
73854,TOLIMA,VALLE DE SAN JUAN
73861,TOLIMA,VENADILLO
73870,TOLIMA,VILLAHERMOSA
73873,TOLIMA,VILLARRICA
76020,VALLE,ALCALA
76036,VALLE,ANDALUCIA
76041,VALLE,ANSERMANUEVO
76054,VALLE,ARGELIA
76100,VALLE,BOLIVAR
76109,VALLE,BUENAVENTURA
76111,VALLE,BUGA
76113,VALLE,BUGALAGRANDE
76122,VALLE,CAICEDONIA
76001,VALLE,CALI
76126,VALLE,CALIMA (DARIEN)
76130,VALLE,CANDELARIA
76147,VALLE,CARTAGO
76233,VALLE,DAGUA
76243,VALLE,EL AGUILA
76246,VALLE,EL CAIRO
76248,VALLE,EL CERRITO
76250,VALLE,EL DOVIO
76275,VALLE,FLORIDA
76306,VALLE,GINEBRA
76318,VALLE,GUACARI
76364,VALLE,JAMUNDI
76377,VALLE,LA CUMBRE
76400,VALLE,LA UNION
76403,VALLE,LA VICTORIA
76497,VALLE,OBANDO
76520,VALLE,PALMIRA
76563,VALLE,PRADERA
76606,VALLE,RESTREPO
76616,VALLE,RIOFRIO
76622,VALLE,ROLDANILLO
76670,VALLE,SAN PEDRO
76736,VALLE,SEVILLA
76823,VALLE,TORO
76828,VALLE,TRUJILLO
76834,VALLE,TULUA
76845,VALLE,ULLOA
76863,VALLE,VERSALLES
76869,VALLE,VIJES
76890,VALLE,YOTOCO
76892,VALLE,YUMBO
76895,VALLE,ZARZAL
97511,VAUPES,BUENOS AIRES (PACOA)
97161,VAUPES,CARURU
97001,VAUPES,MITU
97777,VAUPES,MORICHAL (PAPUNAGUA)
97666,VAUPES,TARAIRA
97889,VAUPES,YAVARATE
99773,VICHADA,CUMARIBO
99524,VICHADA,LA PRIMAVERA
99001,VICHADA,PUERTO CARRENO
99624,VICHADA,SANTA ROSALIA
